Date,Close/Last,Volume,,,
11/10/2020,$151.49 ,5697945,,,
11/9/2020,$156.22 ,5308637,,,
11/6/2020,$157.74 ,4217915,,,
11/5/2020,$155.56 ,4638073,,,
11/4/2020,$152.03 ,5015699,,,
11/3/2020,$147.30 ,3588577,,,
11/2/2020,$145.60 ,3756552,,,
10/30/2020,$144.59 ,5427118,,,
10/29/2020,$146.19 ,5600383,,,
10/28/2020,$143.00 ,7413559,,,
10/27/2020,$147.12 ,4102600,,,
10/26/2020,$145.95 ,4290788,,,
10/23/2020,$149.96 ,3509434,,,
10/22/2020,$148.22 ,3167621,,,
10/21/2020,$146.13 ,6700591,,,
10/20/2020,$150.83 ,3919125,,,
10/19/2020,$150.76 ,4225352,,,
10/16/2020,$153.12 ,4600667,,,
10/15/2020,$152.55 ,2936219,,,
10/14/2020,$152.77 ,3267533,,,
10/13/2020,$154.49 ,3524030,,,
10/12/2020,$154.90 ,5147837,,,
10/9/2020,$150.91 ,4209933,,,
10/8/2020,$148.06 ,2323727,,,
10/7/2020,$146.75 ,2845594,,,
10/6/2020,$143.85 ,3418781,,,
10/5/2020,$144.08 ,3052841,,,
10/2/2020,$141.09 ,3928603,,,
10/1/2020,$144.91 ,4431150,,,
9/30/2020,$142.79 ,5599558,,,
9/29/2020,$141.50 ,2747432,,,
9/28/2020,$141.94 ,3454334,,,
9/25/2020,$138.32 ,3036028,,,
9/24/2020,$136.69 ,2910981,,,
9/23/2020,$135.16 ,5766588,,,
9/22/2020,$138.65 ,3213217,,,
9/21/2020,$136.98 ,6035987,,,
9/18/2020,$138.66 ,7025924,,,
9/17/2020,$140.40 ,5646089,,,
9/16/2020,$139.68 ,3591759,,,
9/15/2020,$140.64 ,2718779,,,
9/14/2020,$138.53 ,3120599,,,
9/11/2020,$136.37 ,3524401,,,
9/10/2020,$137.19 ,3985960,,,
9/9/2020,$139.68 ,5418553,,,
9/8/2020,$136.04 ,5893677,,,
9/4/2020,$140.47 ,5251718,,,
9/3/2020,$141.67 ,5866361,,,
9/2/2020,$147.64 ,4579461,,,
9/1/2020,$144.96 ,3564400,,,
8/31/2020,$142.15 ,4344554,,,
8/28/2020,$143.49 ,2884765,,,
8/27/2020,$141.49 ,2801034,,,
8/26/2020,$142.45 ,2974138,,,
8/25/2020,$141.66 ,2840696,,,
8/24/2020,$141.02 ,2841274,,,
8/21/2020,$140.33 ,4382515,,,
8/20/2020,$138.57 ,2761194,,,
8/19/2020,$138.48 ,3803285,,,
8/18/2020,$139.31 ,2760749,,,
8/17/2020,$138.28 ,2380521,,,
8/14/2020,$137.35 ,2062933,,,
8/13/2020,$137.15 ,2945103,,,
8/12/2020,$138.64 ,3073749,,,
8/11/2020,$136.04 ,5383829,,,
8/10/2020,$135.41 ,5526700,,,
8/7/2020,$133.56 ,2856748,,,
8/6/2020,$133.74 ,2961770,,,
8/5/2020,$132.70 ,4370266,,,
8/4/2020,$132.23 ,5361540,,,
8/3/2020,$129.32 ,4311843,,,
7/31/2020,$127.55 ,8044132,,,
7/30/2020,$128.89 ,4146867,,,
7/29/2020,$131.64 ,2818329,,,
7/28/2020,$130.13 ,3545276,,,
7/27/2020,$132.12 ,3874495,,,
7/24/2020,$129.63 ,5077126,,,
